country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
GUY,Guyana,GUY,2019,.1214014608179301,.0077509242098494,-2.209121760299512,0,1,0,DIVX,.722744617010873,.1666666666666667,.0038314176245211
SYC,Seychelles,SYC,2006,.1148718814296679,.0075624969775125,2.251585457667492,0,1,0,DIVX,.832888614022723,.1666666666666667,.0038314176245211
IRN,Iran,IRN,2000,.1075451346568599,.007511933020243,-2.328805545901198,0,1,0,DIVX,.31740798088737,.1666666666666667,.0038314176245211
GUY,Guyana,GUY,2021,.2496711572137782,.007347842005449,-1.386057236174946,1,1,0,DIVX,.531261147633226,.1666666666666667,.0038314176245211
IRQ,Iraq,IRQ,2004,.1547503104548618,.0071020887977959,1.837085717724383,0,1,0,DIVX,.178724763993457,.1666666666666667,.0038314176245211
ATG,Antigua and Barbuda,ATG,2019,.0967825678027721,.0070322233557254,2.389480769367517,0,1,0,DIVX,.795640259995108,.1666666666666667,.0038314176245211
MNG,Mongolia,MNG,2015,.092548590227822,.0066492949465247,-2.381629555362202,0,1,0,DIVX,.692519080612065,.1666666666666667,.0038314176245211
IRN,Iran,IRN,1996,.1379649784005013,.0065440927089103,-1.886089834545334,0,1,0,DIVX,.299826959683757,.1666666666666667,.0038314176245211
SUR,Suriname,SUR,2010,.0946958157150535,.0064365103939306,2.313751604235272,0,1,0,DIVX,.76118752933774,.1666666666666667,.0038314176245211
BRN,Brunei,BRN,2020,.0970058327185113,.0062809025563823,2.255351321863347,0,1,0,DIVX,.795369389898993,.1666666666666667,.0038314176245211
BRN,Brunei,BRN,2021,.1040470155656728,.0062083374043059,2.156627200504381,0,1,0,DIVX,.823911237285603,.1666666666666667,.0038314176245211
AUS,Australia,AUS,2021,.1125757304211943,.0062078342943183,-2.06335021873404,0,1,0,DIVX,.80751988971906,.1666666666666667,.0038314176245211
GIN,Guinea,GIN,2020,.0882564536508017,.0061305543739584,-2.347321698376441,0,1,0,DIVX,.457853256047866,.1666666666666667,.0038314176245211
JAM,Jamaica,JAM,1996,.1048440459374236,.0061132896136557,2.130956468627852,0,1,0,DIVX,.769705974762011,.1666666666666667,.0038314176245211
