model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries
DIVX,29,JAM,c.rents_oil_gas#c.inst,0.0012093831,0.0012031111,0.0013025199,0.3603711426,1021,48
DIVX,30,JOR,c.rents_oil_gas#c.inst,0.0012093831,0.0012024681,0.0012980058,0.3589727283,1021,48
DIVX,31,KWT,c.rents_oil_gas#c.inst,0.0012093831,0.0005422850,0.0012425897,0.6645337939,1022,48
DIVX,32,LBR,c.rents_oil_gas#c.inst,0.0012093831,0.0013967234,0.0012856442,0.2828428149,1023,48
DIVX,34,MNG,c.rents_oil_gas#c.inst,0.0012093831,0.0012138073,0.0012895360,0.3513772786,1023,48
DIVX,35,MRT,c.rents_oil_gas#c.inst,0.0012093831,0.0012084858,0.0013024687,0.3582299054,1029,48
DIVX,36,NGA,c.rents_oil_gas#c.inst,0.0012093831,0.0011105452,0.0013346316,0.4095612764,1021,48
DIVX,37,NOR,c.rents_oil_gas#c.inst,0.0012093831,0.0013093530,0.0013711533,0.3444999158,1021,48
DIVX,39,OMN,c.rents_oil_gas#c.inst,0.0012093831,0.0016952823,0.0013109765,0.2022812515,1023,48
DIVX,40,PER,c.rents_oil_gas#c.inst,0.0012093831,0.0012210606,0.0013093586,0.3558112979,1021,48
DIVX,42,QAT,c.rents_oil_gas#c.inst,0.0012093831,0.0008179166,0.0014373437,0.5720334649,1021,48
DIVX,43,RUS,c.rents_oil_gas#c.inst,0.0012093831,0.0011694570,0.0012943951,0.3708800077,1024,48
DIVX,44,SAU,c.rents_oil_gas#c.inst,0.0012093831,0.0015282583,0.0012760661,0.2370652556,1025,48
DIVX,46,SUR,c.rents_oil_gas#c.inst,0.0012093831,0.0010358526,0.0013404714,0.4435378015,1028,48
DIVX,47,SYC,c.rents_oil_gas#c.inst,0.0012093831,0.0006672046,0.0012708516,0.6020470262,1024,48
DIVX,48,SYR,c.rents_oil_gas#c.inst,0.0012093831,0.0012107164,0.0013073467,0.3591319919,1031,48
DIVX,49,TGO,c.rents_oil_gas#c.inst,0.0012093831,0.0012242057,0.0012997965,0.3510885239,1021,48
DIVX,50,TTO,c.rents_oil_gas#c.inst,0.0012093831,0.0011708504,0.0013203943,0.3797323704,1021,48
DIVX,52,VNM,c.rents_oil_gas#c.inst,0.0012093831,0.0011878199,0.0013102853,0.3692769706,1021,48
DIVX,54,ZAF,c.rents_oil_gas#c.inst,0.0012093831,0.0012556904,0.0013045787,0.3407118618,1021,48
DIVX,55,ZMB,c.rents_oil_gas#c.inst,0.0012093831,0.0012289702,0.0012902382,0.3457094133,1021,48
DIVX,1,AGO,rents_mining,-0.0014128564,-0.0014745814,0.0018781803,0.4363278747,1023,48
DIVX,2,ALB,rents_mining,-0.0014128564,-0.0013754960,0.0018864070,0.4695208669,1021,48
DIVX,3,ARE,rents_mining,-0.0014128564,-0.0014545097,0.0018982200,0.4473595321,1021,48
DIVX,4,ATG,rents_mining,-0.0014128564,-0.0016125321,0.0018989242,0.4000848234,1023,48
DIVX,5,AUS,rents_mining,-0.0014128564,-0.0005750682,0.0022075104,0.7956119776,1024,48
DIVX,6,BDI,rents_mining,-0.0014128564,-0.0012381433,0.0019211569,0.5223987103,1021,48
DIVX,7,BHR,rents_mining,-0.0014128564,-0.0014426353,0.0018983772,0.4510911703,1027,48
DIVX,8,BOL,rents_mining,-0.0014128564,-0.0013670451,0.0018983583,0.4750175476,1021,48
DIVX,9,BRN,rents_mining,-0.0014128564,-0.0013359538,0.0018712252,0.4787912369,1023,48
DIVX,10,CAF,rents_mining,-0.0014128564,-0.0013091208,0.0018435620,0.4811482430,1023,48
DIVX,11,CHL,rents_mining,-0.0014128564,0.0005650382,0.0029710615,0.8499866724,1021,48
DIVX,12,CMR,rents_mining,-0.0014128564,-0.0014634386,0.0019107925,0.4475768507,1024,48
DIVX,13,COD,rents_mining,-0.0014128564,-0.0012483302,0.0016190779,0.4445580840,1026,48
DIVX,14,COG,rents_mining,-0.0014128564,-0.0014169445,0.0019123084,0.4624036252,1023,48
DIVX,15,COL,rents_mining,-0.0014128564,-0.0014480234,0.0019148643,0.4533021152,1021,48
DIVX,16,DZA,rents_mining,-0.0014128564,-0.0014321590,0.0018990093,0.4545145333,1021,48
DIVX,17,ECU,rents_mining,-0.0014128564,-0.0014945803,0.0018996281,0.4353628457,1021,48
DIVX,18,EGY,rents_mining,-0.0014128564,-0.0013823912,0.0018883169,0.4677572250,1021,48
DIVX,19,GAB,rents_mining,-0.0014128564,-0.0014655169,0.0019002828,0.4444425702,1023,48
DIVX,20,GHA,rents_mining,-0.0014128564,-0.0015103740,0.0019245902,0.4365222752,1021,48
DIVX,21,GIN,rents_mining,-0.0014128564,-0.0013075140,0.0019963332,0.5156877637,1021,48
DIVX,22,GMB,rents_mining,-0.0014128564,-0.0014866076,0.0018772307,0.4323889315,1023,48
DIVX,23,GUY,rents_mining,-0.0014128564,-0.0016652759,0.0019160712,0.3892039061,1021,48
DIVX,24,IDN,rents_mining,-0.0014128564,-0.0015025714,0.0018982833,0.4326042831,1021,48
DIVX,25,IND,rents_mining,-0.0014128564,-0.0013419734,0.0018808402,0.4790665209,1021,48
DIVX,26,IRN,rents_mining,-0.0014128564,-0.0014827757,0.0018807090,0.4344138205,1026,48
DIVX,27,IRQ,rents_mining,-0.0014128564,-0.0015513460,0.0018740523,0.4119657576,1026,48
DIVX,28,ISR,rents_mining,-0.0014128564,-0.0014081000,0.0018768763,0.4568520784,1021,48
DIVX,29,JAM,rents_mining,-0.0014128564,-0.0013314737,0.0019426515,0.4964646399,1021,48
DIVX,30,JOR,rents_mining,-0.0014128564,-0.0013389725,0.0019309397,0.4914523065,1021,48
DIVX,31,KWT,rents_mining,-0.0014128564,-0.0015191596,0.0019135150,0.4312377870,1022,48
DIVX,32,LBR,rents_mining,-0.0014128564,-0.0017769200,0.0019087805,0.3566527069,1023,48
DIVX,34,MNG,rents_mining,-0.0014128564,-0.0017802144,0.0021954924,0.4215390682,1023,48
DIVX,35,MRT,rents_mining,-0.0014128564,-0.0011844814,0.0019912641,0.5548042655,1029,48
DIVX,36,NGA,rents_mining,-0.0014128564,-0.0012976326,0.0018878047,0.4952236414,1021,48
DIVX,37,NOR,rents_mining,-0.0014128564,-0.0013964787,0.0019164642,0.4698161483,1021,48
DIVX,39,OMN,rents_mining,-0.0014128564,-0.0013753615,0.0019027035,0.4733564556,1023,48
DIVX,40,PER,rents_mining,-0.0014128564,-0.0013083030,0.0019465137,0.5047941208,1021,48
DIVX,42,QAT,rents_mining,-0.0014128564,-0.0015645339,0.0018872045,0.4112825692,1021,48
DIVX,43,RUS,rents_mining,-0.0014128564,-0.0014232952,0.0018898117,0.4551212192,1024,48
DIVX,44,SAU,rents_mining,-0.0014128564,-0.0013548462,0.0018869942,0.4763163626,1025,48
DIVX,46,SUR,rents_mining,-0.0014128564,-0.0029411267,0.0011144275,0.0112401396,1028,48
DIVX,47,SYC,rents_mining,-0.0014128564,-0.0014479707,0.0018721116,0.4431333840,1024,48
DIVX,48,SYR,rents_mining,-0.0014128564,-0.0014265791,0.0018918302,0.4545665979,1031,48
DIVX,49,TGO,rents_mining,-0.0014128564,-0.0013501396,0.0018647761,0.4726406336,1021,48
DIVX,50,TTO,rents_mining,-0.0014128564,-0.0014511816,0.0019066423,0.4503880739,1021,48
DIVX,52,VNM,rents_mining,-0.0014128564,-0.0013326106,0.0019009021,0.4867338836,1021,48
DIVX,54,ZAF,rents_mining,-0.0014128564,-0.0013354400,0.0019329325,0.4930341542,1021,48
DIVX,55,ZMB,rents_mining,-0.0014128564,-0.0012778316,0.0019538936,0.5163040161,1021,48
DIVX,1,AGO,rents_oil_gas,-0.0048488000,-0.0053356155,0.0013609396,0.0002858188,1023,48
DIVX,2,ALB,rents_oil_gas,-0.0048488000,-0.0048396639,0.0013948651,0.0011268477,1021,48
DIVX,3,ARE,rents_oil_gas,-0.0048488000,-0.0050898143,0.0015049905,0.0014580849,1021,48
DIVX,4,ATG,rents_oil_gas,-0.0048488000,-0.0049217134,0.0013721316,0.0007944205,1023,48
DIVX,5,AUS,rents_oil_gas,-0.0048488000,-0.0044848504,0.0013608735,0.0018736946,1024,48
DIVX,6,BDI,rents_oil_gas,-0.0048488000,-0.0047635431,0.0013690576,0.0010946250,1021,48
DIVX,7,BHR,rents_oil_gas,-0.0048488000,-0.0048667178,0.0013871364,0.0010042837,1027,48
DIVX,8,BOL,rents_oil_gas,-0.0048488000,-0.0048900782,0.0014162794,0.0011844056,1021,48
DIVX,9,BRN,rents_oil_gas,-0.0048488000,-0.0051339772,0.0014794170,0.0011247104,1023,48
DIVX,10,CAF,rents_oil_gas,-0.0048488000,-0.0046398300,0.0013691395,0.0014289420,1023,48
DIVX,11,CHL,rents_oil_gas,-0.0048488000,-0.0048741642,0.0014003589,0.0010906735,1021,48
DIVX,12,CMR,rents_oil_gas,-0.0048488000,-0.0048558488,0.0013990303,0.0011227271,1024,48
DIVX,13,COD,rents_oil_gas,-0.0048488000,-0.0044156993,0.0013373276,0.0018398555,1026,48
DIVX,14,COG,rents_oil_gas,-0.0048488000,-0.0047227177,0.0014309759,0.0018480266,1023,48
DIVX,15,COL,rents_oil_gas,-0.0048488000,-0.0048323269,0.0013959151,0.0011533531,1021,48
DIVX,16,DZA,rents_oil_gas,-0.0048488000,-0.0047709988,0.0013930928,0.0012862443,1021,48
DIVX,17,ECU,rents_oil_gas,-0.0048488000,-0.0048195366,0.0013933452,0.0011629120,1021,48
DIVX,18,EGY,rents_oil_gas,-0.0048488000,-0.0048799841,0.0013811024,0.0009324180,1021,48
DIVX,19,GAB,rents_oil_gas,-0.0048488000,-0.0047047613,0.0014623570,0.0023454584,1023,48
DIVX,20,GHA,rents_oil_gas,-0.0048488000,-0.0048185778,0.0013858710,0.0011027615,1021,48
DIVX,21,GIN,rents_oil_gas,-0.0048488000,-0.0048788227,0.0013926587,0.0010199838,1021,48
DIVX,22,GMB,rents_oil_gas,-0.0048488000,-0.0045925733,0.0013568031,0.0014458211,1023,48
DIVX,23,GUY,rents_oil_gas,-0.0048488000,-0.0047042649,0.0013779445,0.0013276174,1021,48
DIVX,24,IDN,rents_oil_gas,-0.0048488000,-0.0048922263,0.0013850696,0.0009359895,1021,48
DIVX,25,IND,rents_oil_gas,-0.0048488000,-0.0048235483,0.0013961853,0.0011772921,1021,48
DIVX,26,IRN,rents_oil_gas,-0.0048488000,-0.0048405663,0.0014143945,0.0012953229,1026,48
DIVX,27,IRQ,rents_oil_gas,-0.0048488000,-0.0049472395,0.0013959727,0.0009035426,1026,48
DIVX,28,ISR,rents_oil_gas,-0.0048488000,-0.0048755216,0.0013957701,0.0010512625,1021,48
DIVX,29,JAM,rents_oil_gas,-0.0048488000,-0.0050996076,0.0013878202,0.0006096958,1021,48
DIVX,30,JOR,rents_oil_gas,-0.0048488000,-0.0048260819,0.0013851514,0.0010794187,1021,48
DIVX,31,KWT,rents_oil_gas,-0.0048488000,-0.0055690915,0.0014247167,0.0002963760,1022,48
DIVX,32,LBR,rents_oil_gas,-0.0048488000,-0.0049627321,0.0013790987,0.0007671486,1023,48
DIVX,34,MNG,rents_oil_gas,-0.0048488000,-0.0047741062,0.0013770370,0.0011358372,1023,48
DIVX,35,MRT,rents_oil_gas,-0.0048488000,-0.0048369151,0.0013912977,0.0011040085,1029,48
DIVX,36,NGA,rents_oil_gas,-0.0048488000,-0.0048472076,0.0013968722,0.0011254660,1021,48
DIVX,37,NOR,rents_oil_gas,-0.0048488000,-0.0047640274,0.0014012946,0.0013842136,1021,48
DIVX,39,OMN,rents_oil_gas,-0.0048488000,-0.0042522568,0.0013956615,0.0037873506,1023,48
