"model","outcome","order","term","canonical_term","variable_label","channel","term_role","coefficient","standard_error","p_value","ci_lower","ci_upper","significance"
"M3_OG","DIVX","11","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","0.107623","0.041974","0.013531","0.023229","0.192016","**"
"M3_OG","DIVX","12","innov","INNOV","INNOV","Capacidades productivas","common","0.010533","0.013801","0.449067","-0.017216","0.038282",""
"M3_OG","DIVX","13","net","NET","NET","Capacidades productivas","common","-0.000622","0.00037","0.09979","-0.001366","0.000123","*"
"M3_OG","DIVX","14","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.141916","0.035915","0.000254","-0.214129","-0.069704","***"
"M3_OG","DIVX","15","govcons","GOVCONS","GOVCONS","Controles económicos","common","0.002941","0.001736","0.096696","-0.000549","0.006432","*"
"M3_OG","DIVX","16","fin","FIN","FIN","Controles económicos","common","0.000584","0.000352","0.10416","-0.000125","0.001292",""
"M3_MIN","DIVX","1","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.000469","0.001855","0.801298","-0.004199","0.003261",""
"M3_MIN","DIVX","2","inst","INST","Calidad institucional","Institucional","common","0.033855","0.025226","0.185883","-0.016865","0.084574",""
"M3_MIN","DIVX","3","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.000747","0.002342","0.751058","-0.005456","0.003962",""
"M3_MIN","DIVX","4","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","-0.001561","0.008326","0.852056","-0.018302","0.01518",""
"M3_MIN","DIVX","5","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.008192","0.007138","0.256818","-0.00616","0.022544",""
"M3_MIN","DIVX","6","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","-0.01052","0.007629","0.17432","-0.025859","0.00482",""
"M3_MIN","DIVX","7","pexp","PEXP","PEXP","Estructura exportadora","common","0.001533","0.000647","0.021954","0.000231","0.002834","**"
"M3_MIN","DIVX","8","fexp","FEXP","FEXP","Estructura exportadora","common","-0.001251","0.001072","0.248891","-0.003407","0.000904",""
"M3_MIN","DIVX","9","vol","VOL","VOL","Macroeconomía","common","0.001423","0.000991","0.157434","-0.000569","0.003414",""
"M3_MIN","DIVX","10","rer","RER","RER","Macroeconomía","common","-0.047131","0.036948","0.208238","-0.12142","0.027158",""
"M3_MIN","DIVX","11","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","0.112432","0.049749","0.028397","0.012405","0.212458","**"
"M3_MIN","DIVX","12","innov","INNOV","INNOV","Capacidades productivas","common","0.015118","0.014325","0.296568","-0.013685","0.04392",""
"M3_MIN","DIVX","13","net","NET","NET","Capacidades productivas","common","-0.000603","0.000383","0.121605","-0.001373","0.000166",""
"M3_MIN","DIVX","14","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.150319","0.036178","0.000133","-0.223059","-0.077578","***"
"M3_MIN","DIVX","15","govcons","GOVCONS","GOVCONS","Controles económicos","common","0.003255","0.00173","0.065983","-0.000223","0.006733","*"
"M3_MIN","DIVX","16","fin","FIN","FIN","Controles económicos","common","0.00064","0.000353","0.076096","-7E-05","0.00135","*"
"M3_SIM","DIVX","1","rents_oil_gas","RENTS_OIL_GAS","Rentas de petróleo y gas","Rentas","resource","-0.0048487999837241","0.0013854586","0.0010159025","-0.0076344511","-0.0020631487","***"
"M3_SIM","DIVX","2","rents_mining","RENTS_MINING","Rentas de minería y carbón","Rentas","resource","-0.0014128563697215","0.0018924191","0.45895392","-0.0052178199","0.0023921072",""
"M3_SIM","DIVX","3","inst","INST","Calidad institucional","Institucional","common","0.0163219843559727","0.027968707","0.56223512","-0.039912868","0.072556838",""
"M3_SIM","DIVX","4","c.rents_oil_gas#c.inst","RENTS_OIL_GAS_X_INST","Petróleo y gas x INST","Institucional","resource","0.0012093830587751","0.0013012802","0.35734296","-0.0014070162","0.0038257823",""
"M3_SIM","DIVX","5","c.rents_mining#c.inst","RENTS_MINING_X_INST","Minería y carbón x INST","Institucional","resource","-0.0008969832927308","0.0022619106","0.69344956","-0.0054448592","0.0036508928",""
"M3_SIM","DIVX","6","ln1p_oilpc","LN1P_OILPC","log(1 + OILPC)","Abundancia","common","0.0088743388908937","0.0084942365","0.30137238","-0.0082044685","0.025953146",""
"M3_SIM","DIVX","7","ln1p_gaspc","LN1P_GASPC","log(1 + GASPC)","Abundancia","common","0.0047902634662268","0.0065495837","0.46810007","-0.0083785579","0.017959084",""
"M3_SIM","DIVX","8","ln1p_coalpc","LN1P_COALPC","log(1 + COALPC)","Abundancia","common","-0.0135526847881415","0.0072832434","0.068903245","-0.028196627","0.0010912571","*"
"M3_SIM","DIVX","9","pexp","PEXP","PEXP","Estructura exportadora","common","0.0015165414871231","0.00063887087","0.02165602","0.00023200546","0.0028010774","**"
"M3_SIM","DIVX","10","fexp","FEXP","FEXP","Estructura exportadora","common","-0.000928296852307","0.00097116287","0.34393194","-0.0028809507","0.0010243569",""
"M3_SIM","DIVX","11","vol","VOL","VOL","Macroeconomía","common","0.0004515226271107","0.0009574616","0.63936108","-0.001473583","0.0023766283",""
"M3_SIM","DIVX","12","rer","RER","RER","Macroeconomía","common","-0.0414011416594044","0.035411824","0.24812324","-0.11260138","0.029799104",""
"M3_SIM","DIVX","13","humcap","HUMCAP","HUMCAP","Capacidades productivas","common","0.1065592237513667","0.042415868","0.015411726","0.021276403","0.19184205","**"
"M3_SIM","DIVX","14","innov","INNOV","INNOV","Capacidades productivas","common","0.0102262984510551","0.013702212","0.45911118","-0.017323846","0.037776444",""
"M3_SIM","DIVX","15","net","NET","NET","Capacidades productivas","common","-0.0006446115553347","0.00036277698","0.081925064","-0.0013740235","8.4800442E-05","*"
"M3_SIM","DIVX","16","log_gdppc","LOG_GDPPC","log(GDPPC)","Controles económicos","common","-0.1410728664429199","0.035880663","0.00027037304","-0.21321577","-0.068929963","***"
"M3_SIM","DIVX","17","govcons","GOVCONS","GOVCONS","Controles económicos","common","0.0029054701633957","0.0017347144","0.10045824","-0.00058240682","0.0063933474",""
"M3_SIM","DIVX","18","fin","FIN","FIN","Controles económicos","common","0.000584373904385","0.00035227058","0.10366161","-0.00012391356","0.0012926614",""
