country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff,model_observations,model_parameters,flagged_observations_model,flagged_leverage_model,flagged_cooks_model,flagged_residual_model
JAM,Jamaica,JAM,2021,0.090223,0.004873,2.067538,0,1,0,DIVX,.88649766,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2011,0.097412,0.004871,1.981482,0,1,0,DIVX,.71260334,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2014,0.084842,0.004774,2.116536,0,1,0,DIVX,.78559716,0.166667,0.003831,1044,87,75,4,73,21
ATG,Antigua and Barbuda,ATG,2008,0.079697,0.004755,2.185631,0,1,0,DIVX,.86118116,0.166667,0.003831,1044,87,75,4,73,21
QAT,Qatar,QAT,2021,0.122071,0.004747,-1.723481,0,1,0,DIVX,.63833996,0.166667,0.003831,1044,87,75,4,73,21
GIN,Guinea,GIN,2021,0.088584,0.004694,-2.049841,0,1,0,DIVX,.52953752,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2014,0.088503,0.004683,-2.048474,0,1,0,DIVX,.601567,0.166667,0.003831,1044,87,75,4,73,21
COD,Democratic Republic of the Congo,COD,2019,0.093259,0.004578,-1.967942,0,1,0,DIVX,.65883107,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2012,0.081987,0.004505,-2.094911,0,1,0,DIVX,.65443168,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2012,0.096078,0.004472,1.913310,0,1,0,DIVX,.73649126,0.166667,0.003831,1044,87,75,4,73,21
JAM,Jamaica,JAM,2005,0.069940,0.004460,-2.271661,0,1,0,DIVX,.55378882,0.166667,0.003831,1044,87,75,4,73,21
LBR,Liberia,LBR,2006,0.076866,0.004448,-2.155693,0,1,0,DIVX,.53352211,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2004,0.106462,0.004412,-1.794799,0,1,0,DIVX,.63034936,0.166667,0.003831,1044,87,75,4,73,21
GMB,The Gambia,GMB,2017,0.085705,0.004409,-2.022973,0,1,0,DIVX,.72348475,0.166667,0.003831,1044,87,75,4,73,21
ZMB,Zambia,ZMB,1996,0.090628,0.004229,-1.921319,0,1,0,DIVX,.60743571,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2007,0.103426,0.004189,1.777392,0,1,0,DIVX,.83213352,0.166667,0.003831,1044,87,75,4,73,21
LBR,Liberia,LBR,2012,0.086543,0.004110,1.942731,0,1,0,DIVX,.88000339,0.166667,0.003831,1044,87,75,4,73,21
AGO,Angola,AGO,2000,0.168071,0.003992,1.311075,1,1,0,DIVX,.20918512,0.166667,0.003831,1044,87,75,4,73,21
COG,Republic of the Congo,COG,2006,0.093307,0.003855,-1.805302,0,1,0,DIVX,.22648591,0.166667,0.003831,1044,87,75,4,73,21
KWT,Kuwait,KWT,2020,0.179829,0.002255,-0.945913,1,0,0,DIVX,.47289485,0.166667,0.003831,1044,87,75,4,73,21
GUY,Guyana,GUY,2020,0.206716,0.000036,-0.110330,1,0,0,DIVX,.72229452,0.166667,0.003831,1044,87,75,4,73,21
IRQ,Iraq,IRQ,2004,0.157731,0.057505,5.198301,0,1,1,ECI,-.33945358,0.168582,0.003831,1044,88,70,4,69,16
COD,Democratic Republic of the Congo,COD,2011,0.081613,0.036148,5.982963,0,1,1,ECI,-.25823492,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2005,0.083534,0.030871,-5.459377,0,1,1,ECI,-1.5974941,0.168582,0.003831,1044,88,70,4,69,16
CAF,Central African Republic,CAF,2014,0.082409,0.029479,5.374489,0,1,1,ECI,.8073048,0.168582,0.003831,1044,88,70,4,69,16
AGO,Angola,AGO,2000,0.169566,0.024694,-3.262256,1,1,1,ECI,-2.299502,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2000,0.104975,0.022257,-4.086513,0,1,1,ECI,-1.3063198,0.168582,0.003831,1044,88,70,4,69,16
CMR,Cameroon,CMR,1998,0.092814,0.019588,-4.104726,0,1,1,ECI,-2.2013767,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2009,0.089281,0.017652,3.980643,0,1,1,ECI,-.559676,0.168582,0.003831,1044,88,70,4,69,16
VNM,Vietnam,VNM,1996,0.127625,0.016989,-3.196770,0,1,1,ECI,-.85668755,0.168582,0.003831,1044,88,70,4,69,16
GUY,Guyana,GUY,2021,0.251177,0.015702,2.029631,1,1,0,ECI,-1.1006831,0.168582,0.003831,1044,88,70,4,69,16
MRT,Mauritania,MRT,2014,0.095168,0.013473,3.357464,0,1,1,ECI,-1.0154322,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2002,0.096315,0.013452,-3.332660,0,1,1,ECI,-.9969612,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2005,0.134311,0.012782,2.692610,0,1,0,ECI,-.9537908,0.168582,0.003831,1044,88,70,4,69,16
VNM,Vietnam,VNM,1998,0.116343,0.012739,-2.917969,0,1,0,ECI,-.7686982,0.168582,0.003831,1044,88,70,4,69,16
COG,Republic of the Congo,COG,2011,0.088534,0.012378,3.348793,0,1,1,ECI,-.81586707,0.168582,0.003831,1044,88,70,4,69,16
AGO,Angola,AGO,2014,0.088368,0.012304,-3.342166,0,1,1,ECI,-2.1328814,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2014,0.082292,0.011291,-3.328767,0,1,1,ECI,-2.472654,0.168582,0.003831,1044,88,70,4,69,16
CAF,Central African Republic,CAF,1996,0.111409,0.010868,-2.761951,0,1,0,ECI,-1.2465459,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2020,0.126508,0.010581,2.535555,0,1,0,ECI,-.8932634,0.168582,0.003831,1044,88,70,4,69,16
AGO,Angola,AGO,2015,0.099146,0.010572,2.907462,0,1,0,ECI,-.5443719,0.168582,0.003831,1044,88,70,4,69,16
GUY,Guyana,GUY,2019,0.125882,0.010079,2.481782,0,1,0,ECI,-.41496766,0.168582,0.003831,1044,88,70,4,69,16
SYC,Seychelles,SYC,2002,0.117547,0.010020,-2.572905,0,1,0,ECI,-.649661,0.168582,0.003831,1044,88,70,4,69,16
COG,Republic of the Congo,COG,2000,0.123039,0.010000,-2.504398,0,1,0,ECI,-2.7341566,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2016,0.093751,0.009355,-2.820956,0,1,0,ECI,-2.378709,0.168582,0.003831,1044,88,70,4,69,16
LBR,Liberia,LBR,2002,0.108750,0.009231,2.580250,0,1,0,ECI,-.3935448,0.168582,0.003831,1044,88,70,4,69,16
AGO,Angola,AGO,2013,0.080431,0.009207,-3.043532,0,1,1,ECI,-2.092156,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2018,0.086160,0.009156,2.923267,0,1,0,ECI,.580272,0.168582,0.003831,1044,88,70,4,69,16
ATG,Antigua and Barbuda,ATG,2006,0.103544,0.008997,-2.618204,0,1,0,ECI,-.28271586,0.168582,0.003831,1044,88,70,4,69,16
AGO,Angola,AGO,2009,0.077360,0.008754,3.031172,0,1,1,ECI,-.49584088,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2015,0.078564,0.008492,2.960525,0,1,0,ECI,.65631944,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2021,0.107803,0.008478,2.484934,0,1,0,ECI,-1.0185448,0.168582,0.003831,1044,88,70,4,69,16
GMB,The Gambia,GMB,2002,0.081703,0.008382,2.879307,0,1,0,ECI,-.11224862,0.168582,0.003831,1044,88,70,4,69,16
GMB,The Gambia,GMB,2020,0.094714,0.008299,-2.642103,0,1,0,ECI,-1.5266446,0.168582,0.003831,1044,88,70,4,69,16
MNG,Mongolia,MNG,1996,0.137660,0.008164,2.121440,0,1,0,ECI,-.40070465,0.168582,0.003831,1044,88,70,4,69,16
GAB,Gabon,GAB,2006,0.074014,0.007851,-2.940070,0,1,0,ECI,-1.7187247,0.168582,0.003831,1044,88,70,4,69,16
GUY,Guyana,GUY,2020,0.206726,0.007805,1.623482,1,1,0,ECI,-.82675105,0.168582,0.003831,1044,88,70,4,69,16
AGO,Angola,AGO,2016,0.079591,0.007107,2.689236,0,1,0,ECI,-.5587154,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2019,0.081857,0.006987,2.626048,0,1,0,ECI,.59415704,0.168582,0.003831,1044,88,70,4,69,16
NGA,Nigeria,NGA,2004,0.069536,0.006830,-2.835994,0,1,0,ECI,-2.9010394,0.168582,0.003831,1044,88,70,4,69,16
COG,Republic of the Congo,COG,2006,0.096395,0.006772,-2.363590,0,1,0,ECI,-2.6168566,0.168582,0.003831,1044,88,70,4,69,16
DZA,Algeria,DZA,1998,0.086518,0.006744,2.503120,0,1,0,ECI,-.20179704,0.168582,0.003831,1044,88,70,4,69,16
QAT,Qatar,QAT,1996,0.137746,0.006727,1.925018,0,1,0,ECI,.3328568,0.168582,0.003831,1044,88,70,4,69,16
DZA,Algeria,DZA,2014,0.074168,0.006650,-2.702696,0,1,0,ECI,-1.5001138,0.168582,0.003831,1044,88,70,4,69,16
SYC,Seychelles,SYC,2015,0.093586,0.006497,2.353138,0,1,0,ECI,.7729941,0.168582,0.003831,1044,88,70,4,69,16
MRT,Mauritania,MRT,2009,0.096281,0.006439,-2.306233,0,1,0,ECI,-2.357995,0.168582,0.003831,1044,88,70,4,69,16
NGA,Nigeria,NGA,1996,0.123620,0.006099,1.950561,0,1,0,ECI,-1.6133003,0.168582,0.003831,1044,88,70,4,69,16
CAF,Central African Republic,CAF,1998,0.104997,0.005979,-2.117750,0,1,0,ECI,-1.1081082,0.168582,0.003831,1044,88,70,4,69,16
QAT,Qatar,QAT,2015,0.091574,0.005867,-2.263134,0,1,0,ECI,-.1637791,0.168582,0.003831,1044,88,70,4,69,16
NGA,Nigeria,NGA,2005,0.070087,0.005802,-2.602760,0,1,0,ECI,-2.8068197,0.168582,0.003831,1044,88,70,4,69,16
LBR,Liberia,LBR,2015,0.073386,0.005763,-2.530507,0,1,0,ECI,-1.609395,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2015,0.088517,0.005716,-2.275863,0,1,0,ECI,-2.2593727,0.168582,0.003831,1044,88,70,4,69,16
BDI,Burundi,BDI,2012,0.073105,0.005383,2.450643,0,1,0,ECI,-.30153364,0.168582,0.003831,1044,88,70,4,69,16
COD,Democratic Republic of the Congo,COD,2010,0.081296,0.004908,2.209376,0,1,0,ECI,-1.3107023,0.168582,0.003831,1044,88,70,4,69,16
ATG,Antigua and Barbuda,ATG,2009,0.088367,0.004805,2.088600,0,1,0,ECI,1.2664955,0.168582,0.003831,1044,88,70,4,69,16
VNM,Vietnam,VNM,2021,0.102256,0.004785,1.922802,0,1,0,ECI,.5467062,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2016,0.087394,0.004594,2.054649,0,1,0,ECI,.38633046,0.168582,0.003831,1044,88,70,4,69,16
COG,Republic of the Congo,COG,2002,0.103872,0.004559,-1.860511,0,1,0,ECI,-2.5105176,0.168582,0.003831,1044,88,70,4,69,16
COD,Democratic Republic of the Congo,COD,2004,0.088219,0.004529,-2.029677,0,1,0,ECI,-2.3014402,0.168582,0.003831,1044,88,70,4,69,16
ZMB,Zambia,ZMB,1996,0.094136,0.004513,1.954898,0,1,0,ECI,-.321706,0.168582,0.003831,1044,88,70,4,69,16
DZA,Algeria,DZA,2000,0.084489,0.004449,2.059744,0,1,0,ECI,-.41647336,0.168582,0.003831,1044,88,70,4,69,16
GAB,Gabon,GAB,2000,0.089158,0.004441,1.998102,0,1,0,ECI,-.6451203,0.168582,0.003831,1044,88,70,4,69,16
BRN,Brunei,BRN,2017,0.086354,0.004429,2.030721,0,1,0,ECI,.38860795,0.168582,0.003831,1044,88,70,4,69,16
VNM,Vietnam,VNM,2020,0.106116,0.004349,1.795435,0,1,0,ECI,.44940814,0.168582,0.003831,1044,88,70,4,69,16
IRQ,Iraq,IRQ,2007,0.091956,0.004324,-1.938349,0,1,0,ECI,-2.1347842,0.168582,0.003831,1044,88,70,4,69,16
QAT,Qatar,QAT,2007,0.077126,0.004177,2.097155,0,1,0,ECI,.5862271,0.168582,0.003831,1044,88,70,4,69,16
DZA,Algeria,DZA,2011,0.069599,0.004009,-2.171650,0,1,0,ECI,-1.3837602,0.168582,0.003831,1044,88,70,4,69,16
MRT,Mauritania,MRT,2018,0.119876,0.003960,1.599552,0,1,0,ECI,-1.5081018,0.168582,0.003831,1044,88,70,4,69,16
COG,Republic of the Congo,COG,2005,0.094147,0.003949,-1.828613,0,1,0,ECI,-2.4046726,0.168582,0.003831,1044,88,70,4,69,16
IDN,Indonesia,IDN,1996,0.133404,0.003837,-1.480931,0,1,0,ECI,-.13506052,0.168582,0.003831,1044,88,70,4,69,16
KWT,Kuwait,KWT,2020,0.180596,0.000301,0.346749,1,0,0,ECI,.3139577,0.168582,0.003831,1044,88,70,4,69,16
