model,variable,horizon,beta,se,t_stat,p_val,ci_low,ci_high
ECI,fin,5,-.0020157840695211,.0023653952155668,-.8521975762253643,.3983365630834742,-.0067717299054578,.0027401617664156
DIVX,rents,0,,,,,,
DIVX,inst,0,,,,,,
DIVX,rents_x_inst,0,,,,,,
DIVX,log_oilpc,0,,,,,,
DIVX,log_gaspc,0,,,,,,
DIVX,log_coalpc,0,,,,,,
DIVX,hhi,0,,,,,,
DIVX,pexp,0,,,,,,
DIVX,fexp,0,,,,,,
DIVX,vol,0,,,,,,
DIVX,rer,0,,,,,,
DIVX,humcap,0,,,,,,
DIVX,innov,0,,,,,,
DIVX,net,0,,,,,,
DIVX,log_gdppc,0,,,,,,
DIVX,govcons,0,,,,,,
DIVX,fin,0,,,,,,
DIVX,rents,1,-.000230509527689,.0004700034044682,-.4904422510509625,.6260555359308795,-.0011755147089145,.0007144956535365
DIVX,inst,1,.0130751000904783,.017154766777871,.7621846603793346,.4496789753771923,-.0214168702520466,.0475670704330032
DIVX,rents_x_inst,1,.0005682312813403,.0003558333216047,1.596902951015801,.1168507179950569,-.000147219562999,.0012836821256796
DIVX,log_oilpc,1,-.0003018647304685,.0064836762769423,-.0465576499465299,.9630589542827472,-.0133381696100724,.0127344401491354
DIVX,log_gaspc,1,.0105287770454321,.0043899555158568,2.398378982976361,.0204031063999797,.0017021799008262,.019355374190038
DIVX,log_coalpc,1,-.0056844049581069,.004331651315641,-1.312295137325872,.1956614790481017,-.0143937736512434,.0030249637350296
DIVX,hhi,1,-.6872968381350418,.0417159975210468,-16.47561796378674,2.17341512614e-21,-.7711724726998249,-.6034212035702587
DIVX,pexp,1,.0005190612780945,.0004258097018648,1.218998242222552,.228801743109555,-.0003370865086085,.0013752090647975
DIVX,fexp,1,.000110635349324,.0002356583870706,.4694734216731067,.6408569916012021,-.0003631875946458,.0005844582932938
DIVX,vol,1,-.000711472642363,.0005302913862928,-1.341663584877015,.1860181739745593,-.001777694935312,.000354749650586
DIVX,rer,1,-.0204734621413671,.0198232961993067,-1.03279807432243,.3068742240441292,-.0603308704903735,.0193839462076393
DIVX,humcap,1,.0427202887510198,.0206971248931623,2.064068752135389,.0444389041676116,.0011059300579379,.0843346474441017
DIVX,innov,1,.0233875420292256,.0096827588986786,2.415379983531066,.0195755652348264,.0039190504378471,.0428560336206041
DIVX,net,1,-6.97252747235e-06,.000186173115862,-.0374518492644145,.9702800612194182,-.0003812986651597,.000367353610215
DIVX,log_gdppc,1,-.0854672007775895,.0188721939283559,-4.528736886768267,.0000392914364905,-.1234122898425669,-.0475221117126121
DIVX,govcons,1,.0000649700604234,.0008870469684545,.0732430894122745,.9419170456186923,-.0017185574059964,.0018484975268432
