model,method,result_type,term,support_point,support_value,estimate,standard_error,p_value,ci_lower,ci_upper,reference_estimate,reference_p_value,estimate_min,estimate_max,p_value_at_min_estimate,p_value_at_max_estimate,sign_stable,observations,countries,repetitions,excluded_observations,sample_changed,inference_method,hierarchy,comparable_to_main,source_file,source_fields,interpretation_scope,significance_selected
DIVX,REGIME_2014,PERIOD_COEFFICIENT,RENTS x INST,FROM_2014,2014.000000,-0.001393,0.001343,0.305007,-0.004094,0.001308,,,,,,,0,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,post_coefficient; post_standard_error; post_p_value; post_ci_lower; post_ci_upper,Coeficiente desde 2014; no equivale al coeficiente promedio del M3.,0
DIVX,REGIME_2014,PERIOD_COEFFICIENT,RENTS x INST,PRE_2014,2014.000000,0.000515,0.001259,0.684451,-0.002017,0.003047,,,,,,,0,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,pre_coefficient; pre_standard_error; pre_p_value; pre_ci_lower; pre_ci_upper,Coeficiente previo al corte externo; no equivale al coeficiente promedio del M3.,0
DIVX,WILD_CLUSTER_BOOTSTRAP,ALTERNATE_INFERENCE,INST,FULL_SAMPLE,,0.017472,,0.576758,-0.042805,0.086208,0.017472,0.538255,,,,,1,1044,49,9999,0,0,WILD_CLUSTER_BOOTSTRAP,SENSITIVITY,1,05_stability/wild_cluster_bootstrap.csv,coefficient; conventional_p; bootstrap_p; ci_lower; ci_upper; repetitions; seed,Mismo coeficiente del M3 con inferencia wild cluster bootstrap.,0
DIVX,WILD_CLUSTER_BOOTSTRAP,ALTERNATE_INFERENCE,RENTS,FULL_SAMPLE,,-0.003536,,0.020702,-0.006444,-0.000628,-0.003536,0.008862,,,,,1,1044,49,9999,0,0,WILD_CLUSTER_BOOTSTRAP,SENSITIVITY,1,05_stability/wild_cluster_bootstrap.csv,coefficient; conventional_p; bootstrap_p; ci_lower; ci_upper; repetitions; seed,Mismo coeficiente del M3 con inferencia wild cluster bootstrap.,0
DIVX,WILD_CLUSTER_BOOTSTRAP,ALTERNATE_INFERENCE,RENTS x INST,FULL_SAMPLE,,0.000948,,0.476648,-0.001709,0.003753,0.000948,0.427406,,,,,1,1044,49,9999,0,0,WILD_CLUSTER_BOOTSTRAP,SENSITIVITY,1,05_stability/wild_cluster_bootstrap.csv,coefficient; conventional_p; bootstrap_p; ci_lower; ci_upper; repetitions; seed,Mismo coeficiente del M3 con inferencia wild cluster bootstrap.,0
ECI,COUNTRY_LINEAR_TRENDS,COEFFICIENT,INST,FULL_SAMPLE,,0.020426,0.086480,0.814284,-0.153453,0.194305,0.266705,0.056955,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/country_linear_trend_sensitivity.csv,trend_coefficient; trend_standard_error; trend_p_value; trend_ci_lower; trend_ci_upper; base_coefficient; base_p_value,Mismo canal focal con tendencias lineales específicas por país.,0
ECI,COUNTRY_LINEAR_TRENDS,COEFFICIENT,RENTS,FULL_SAMPLE,,-0.004403,0.003462,0.209604,-0.011363,0.002558,-0.009795,0.023337,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/country_linear_trend_sensitivity.csv,trend_coefficient; trend_standard_error; trend_p_value; trend_ci_lower; trend_ci_upper; base_coefficient; base_p_value,Mismo canal focal con tendencias lineales específicas por país.,0
ECI,COUNTRY_LINEAR_TRENDS,COEFFICIENT,RENTS x INST,FULL_SAMPLE,,0.000588,0.002596,0.821697,-0.004631,0.005808,-0.005199,0.138759,,,,,0,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/country_linear_trend_sensitivity.csv,trend_coefficient; trend_standard_error; trend_p_value; trend_ci_lower; trend_ci_upper; base_coefficient; base_p_value,Mismo canal focal con tendencias lineales específicas por país.,0
ECI,INFLUENCE_BASE,COEFFICIENT,RENTS,FULL_SAMPLE,,-0.009795,0.004181,0.023337,,,-0.009795,0.023337,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; rents_coefficient; rents_standard_error; rents_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
ECI,INFLUENCE_BASE,COEFFICIENT,RENTS x INST,FULL_SAMPLE,,-0.005199,0.003453,0.138759,,,-0.005199,0.138759,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; interaction_coefficient; interaction_standard_error; interaction_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
ECI,INFLUENCE_EXCLUSION,COEFFICIENT,RENTS,EXCLUDES_FLAGGED,,-0.005282,0.002585,0.046495,,,-0.009795,0.023337,,,,,1,974,49,,70,1,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; rents_coefficient; rents_standard_error; rents_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
ECI,INFLUENCE_EXCLUSION,COEFFICIENT,RENTS x INST,EXCLUDES_FLAGGED,,-0.003651,0.002475,0.146645,,,-0.005199,0.138759,,,,,1,974,49,,70,1,CLUSTER_COUNTRY,SENSITIVITY,1,05_stability/influential_observation_sensitivity.csv,observations; countries; interaction_coefficient; interaction_standard_error; interaction_p_value,Comparación diagnóstica; las alertas no autorizan eliminar filas del M3.,0
ECI,LEAVE_ONE_COUNTRY_OUT,COEFFICIENT_RANGE,RENTS,49_EXCLUSIONS,,-0.009795,,,,,-0.009795,,-0.011810,-0.006698,0.006631,0.052355,1,,48,49,,1,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/leave_one_country_out_summary.csv,base_coefficient; min_coefficient; min_p_value; max_coefficient; max_p_value; sign_reversals,Rango entre 49 reestimaciones; no es un único coeficiente comparable con el M3.,0
ECI,LEAVE_ONE_COUNTRY_OUT,COEFFICIENT_RANGE,RENTS x INST,49_EXCLUSIONS,,-0.005199,,,,,-0.005199,,-0.006570,-0.002701,0.066522,0.384059,1,,48,49,,1,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/leave_one_country_out_summary.csv,base_coefficient; min_coefficient; min_p_value; max_coefficient; max_p_value; sign_reversals,Rango entre 49 reestimaciones; no es un único coeficiente comparable con el M3.,0
ECI,MAIN_TWFE,COEFFICIENT,INST,FULL_SAMPLE,,0.266705,0.136729,0.056955,-0.008207,0.541617,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,MAIN,1,03_eci/eci_twfe_coefficients.csv,coefficient; standard_error; p_value; ci_lower; ci_upper,Coeficiente focal del M3 principal en la muestra común.,0
ECI,MAIN_TWFE,COEFFICIENT,RENTS,FULL_SAMPLE,,-0.009795,0.004181,0.023337,-0.018202,-0.001388,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,MAIN,1,03_eci/eci_twfe_coefficients.csv,coefficient; standard_error; p_value; ci_lower; ci_upper,Coeficiente focal del M3 principal en la muestra común.,0
