model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries,sign_reversal,significant_5,significant_10
ECI,13,COD,RENTS,-0.009795,-0.009809,0.004281,0.026468,1026,48,0,1,1
ECI,14,COG,RENTS,-0.009795,-0.008911,0.004162,0.037484,1023,48,0,1,1
ECI,15,COL,RENTS,-0.009795,-0.009918,0.004280,0.024902,1021,48,0,1,1
ECI,16,DZA,RENTS,-0.009795,-0.009598,0.004043,0.021726,1021,48,0,1,1
ECI,17,ECU,RENTS,-0.009795,-0.009670,0.004165,0.024617,1021,48,0,1,1
ECI,18,EGY,RENTS,-0.009795,-0.010000,0.004195,0.021226,1021,48,0,1,1
ECI,19,GAB,RENTS,-0.009795,-0.010096,0.004297,0.023062,1023,48,0,1,1
ECI,20,GHA,RENTS,-0.009795,-0.009381,0.004253,0.032343,1021,48,0,1,1
ECI,21,GIN,RENTS,-0.009795,-0.010215,0.004252,0.020280,1021,48,0,1,1
ECI,22,GMB,RENTS,-0.009795,-0.009764,0.004158,0.023129,1023,48,0,1,1
ECI,23,GUY,RENTS,-0.009795,-0.010278,0.004296,0.020793,1021,48,0,1,1
ECI,24,IDN,RENTS,-0.009795,-0.009638,0.004308,0.030060,1021,48,0,1,1
ECI,25,IND,RENTS,-0.009795,-0.009689,0.004153,0.023982,1021,48,0,1,1
ECI,26,IRN,RENTS,-0.009795,-0.010320,0.004209,0.017983,1026,48,0,1,1
ECI,27,IRQ,RENTS,-0.009795,-0.011118,0.003913,0.006631,1026,48,0,1,1
ECI,28,ISR,RENTS,-0.009795,-0.009919,0.004203,0.022476,1021,48,0,1,1
ECI,29,JAM,RENTS,-0.009795,-0.009330,0.004207,0.031452,1021,48,0,1,1
ECI,30,JOR,RENTS,-0.009795,-0.009629,0.004132,0.024145,1021,48,0,1,1
ECI,31,KWT,RENTS,-0.009795,-0.009610,0.004559,0.040417,1022,48,0,1,1
ECI,32,LBR,RENTS,-0.009795,-0.009710,0.004255,0.027052,1023,48,0,1,1
ECI,34,MNG,RENTS,-0.009795,-0.009071,0.004515,0.050305,1023,48,0,0,1
ECI,35,MRT,RENTS,-0.009795,-0.009089,0.004273,0.038694,1029,48,0,1,1
ECI,36,NGA,RENTS,-0.009795,-0.009990,0.004185,0.021062,1021,48,0,1,1
ECI,37,NOR,RENTS,-0.009795,-0.010118,0.004269,0.021947,1021,48,0,1,1
ECI,39,OMN,RENTS,-0.009795,-0.010611,0.004185,0.014618,1023,48,0,1,1
ECI,40,PER,RENTS,-0.009795,-0.009553,0.004182,0.026921,1021,48,0,1,1
ECI,42,QAT,RENTS,-0.009795,-0.011810,0.004250,0.007821,1021,48,0,1,1
ECI,43,RUS,RENTS,-0.009795,-0.009527,0.004129,0.025494,1024,48,0,1,1
ECI,44,SAU,RENTS,-0.009795,-0.010244,0.004314,0.021684,1025,48,0,1,1
ECI,46,SUR,RENTS,-0.009795,-0.010517,0.004530,0.024639,1028,48,0,1,1
ECI,47,SYC,RENTS,-0.009795,-0.008493,0.004234,0.050663,1024,48,0,0,1
ECI,48,SYR,RENTS,-0.009795,-0.009768,0.004197,0.024302,1031,48,0,1,1
ECI,49,TGO,RENTS,-0.009795,-0.009807,0.004185,0.023385,1021,48,0,1,1
ECI,50,TTO,RENTS,-0.009795,-0.009678,0.004258,0.027637,1021,48,0,1,1
ECI,52,VNM,RENTS,-0.009795,-0.010294,0.003913,0.011491,1021,48,0,1,1
ECI,54,ZAF,RENTS,-0.009795,-0.009822,0.004192,0.023393,1021,48,0,1,1
ECI,55,ZMB,RENTS,-0.009795,-0.009778,0.004282,0.026964,1021,48,0,1,1
ECI,1,AGO,RENTS x INST,-0.005199,-0.005509,0.003566,0.129029,1023,48,0,0,0
ECI,2,ALB,RENTS x INST,-0.005199,-0.005366,0.003498,0.131722,1021,48,0,0,0
ECI,3,ARE,RENTS x INST,-0.005199,-0.005728,0.003542,0.112600,1021,48,0,0,0
ECI,4,ATG,RENTS x INST,-0.005199,-0.005134,0.003534,0.152958,1023,48,0,0,0
ECI,5,AUS,RENTS x INST,-0.005199,-0.004896,0.003678,0.189477,1024,48,0,0,0
ECI,6,BDI,RENTS x INST,-0.005199,-0.005169,0.003488,0.144989,1021,48,0,0,0
ECI,7,BHR,RENTS x INST,-0.005199,-0.005304,0.003453,0.131165,1027,48,0,0,0
ECI,8,BOL,RENTS x INST,-0.005199,-0.005216,0.003555,0.148922,1021,48,0,0,0
ECI,9,BRN,RENTS x INST,-0.005199,-0.003290,0.003107,0.295002,1023,48,0,0,0
ECI,10,CAF,RENTS x INST,-0.005199,-0.005531,0.003438,0.114331,1023,48,0,0,0
ECI,11,CHL,RENTS x INST,-0.005199,-0.005703,0.003722,0.132137,1021,48,0,0,0
ECI,12,CMR,RENTS x INST,-0.005199,-0.004984,0.003430,0.152865,1024,48,0,0,0
ECI,13,COD,RENTS x INST,-0.005199,-0.005037,0.003601,0.168431,1026,48,0,0,0
ECI,14,COG,RENTS x INST,-0.005199,-0.005249,0.003668,0.159016,1023,48,0,0,0
ECI,15,COL,RENTS x INST,-0.005199,-0.005292,0.003512,0.138566,1021,48,0,0,0
ECI,16,DZA,RENTS x INST,-0.005199,-0.004356,0.003521,0.222140,1021,48,0,0,0
ECI,17,ECU,RENTS x INST,-0.005199,-0.004920,0.003483,0.164364,1021,48,0,0,0
ECI,18,EGY,RENTS x INST,-0.005199,-0.005290,0.003468,0.133841,1021,48,0,0,0
ECI,19,GAB,RENTS x INST,-0.005199,-0.005528,0.003424,0.113095,1023,48,0,0,0
ECI,20,GHA,RENTS x INST,-0.005199,-0.005019,0.003469,0.154571,1021,48,0,0,0
ECI,21,GIN,RENTS x INST,-0.005199,-0.005338,0.003426,0.125914,1021,48,0,0,0
ECI,22,GMB,RENTS x INST,-0.005199,-0.004973,0.003440,0.154895,1023,48,0,0,0
ECI,23,GUY,RENTS x INST,-0.005199,-0.006247,0.003326,0.066522,1021,48,0,0,1
ECI,24,IDN,RENTS x INST,-0.005199,-0.004930,0.003541,0.170400,1021,48,0,0,0
ECI,25,IND,RENTS x INST,-0.005199,-0.004900,0.003444,0.161361,1021,48,0,0,0
ECI,26,IRN,RENTS x INST,-0.005199,-0.005265,0.003611,0.151450,1026,48,0,0,0
ECI,27,IRQ,RENTS x INST,-0.005199,-0.002701,0.003074,0.384059,1026,48,0,0,0
ECI,28,ISR,RENTS x INST,-0.005199,-0.005180,0.003479,0.143167,1021,48,0,0,0
ECI,29,JAM,RENTS x INST,-0.005199,-0.005214,0.003456,0.138052,1021,48,0,0,0
ECI,30,JOR,RENTS x INST,-0.005199,-0.005119,0.003427,0.141957,1021,48,0,0,0
ECI,31,KWT,RENTS x INST,-0.005199,-0.005316,0.003817,0.170248,1022,48,0,0,0
ECI,32,LBR,RENTS x INST,-0.005199,-0.005346,0.003461,0.129146,1023,48,0,0,0
ECI,34,MNG,RENTS x INST,-0.005199,-0.005042,0.003489,0.155028,1023,48,0,0,0
ECI,35,MRT,RENTS x INST,-0.005199,-0.005684,0.003334,0.094846,1029,48,0,0,1
ECI,36,NGA,RENTS x INST,-0.005199,-0.005629,0.003400,0.104439,1021,48,0,0,0
ECI,37,NOR,RENTS x INST,-0.005199,-0.005924,0.003482,0.095473,1021,48,0,0,1
ECI,39,OMN,RENTS x INST,-0.005199,-0.006006,0.003580,0.100086,1023,48,0,0,0
ECI,40,PER,RENTS x INST,-0.005199,-0.005345,0.003466,0.129723,1021,48,0,0,0
ECI,42,QAT,RENTS x INST,-0.005199,-0.006570,0.003517,0.068007,1021,48,0,0,1
ECI,43,RUS,RENTS x INST,-0.005199,-0.004846,0.003406,0.161398,1024,48,0,0,0
ECI,44,SAU,RENTS x INST,-0.005199,-0.005162,0.003538,0.151199,1025,48,0,0,0
ECI,46,SUR,RENTS x INST,-0.005199,-0.005457,0.003536,0.129494,1028,48,0,0,0
ECI,47,SYC,RENTS x INST,-0.005199,-0.003347,0.003186,0.298829,1024,48,0,0,0
ECI,48,SYR,RENTS x INST,-0.005199,-0.005348,0.003454,0.128269,1031,48,0,0,0
ECI,49,TGO,RENTS x INST,-0.005199,-0.005398,0.003446,0.123999,1021,48,0,0,0
ECI,50,TTO,RENTS x INST,-0.005199,-0.005406,0.003473,0.126263,1021,48,0,0,0
ECI,52,VNM,RENTS x INST,-0.005199,-0.005190,0.003324,0.125232,1021,48,0,0,0
ECI,54,ZAF,RENTS x INST,-0.005199,-0.005128,0.003469,0.146016,1021,48,0,0,0
ECI,55,ZMB,RENTS x INST,-0.005199,-0.005360,0.003440,0.125917,1021,48,0,0,0
