model,excluded_id,excluded_iso3,term,base_b,b,se,p,obs,countries,sign_change,sig_5
DIVX,47,SYC,RENTS,-.0035361282417884,-.0036962838,.0012882829,.006147929,1024,48,0,1
ECI,48,SYR,RENTS,-.0097954691504722,-.009767672,.004196831,.024302028,1031,48,0,1
DIVX,48,SYR,RENTS,-.0035361282417884,-.0035522722,.0012962937,.0086494833,1031,48,0,1
ECI,49,TGO,RENTS,-.0097954691504722,-.0098072542,.0041848603,.023384754,1021,48,0,1
DIVX,49,TGO,RENTS,-.0035361282417884,-.0035053485,.0012983893,.0096136266,1021,48,0,1
ECI,50,TTO,RENTS,-.0097954691504722,-.0096784653,.0042579235,.027636914,1021,48,0,1
DIVX,50,TTO,RENTS,-.0035361282417884,-.00360843,.0013205122,.0088260612,1021,48,0,1
ECI,52,VNM,RENTS,-.0097954691504722,-.010293656,.0039131525,.011490543,1021,48,0,1
DIVX,52,VNM,RENTS,-.0035361282417884,-.0035754256,.0012990925,.0083836187,1021,48,0,1
ECI,54,ZAF,RENTS,-.0097954691504722,-.0098224161,.0041915998,.023393201,1021,48,0,1
DIVX,54,ZAF,RENTS,-.0035361282417884,-.0034824878,.0013162057,.011048266,1021,48,0,1
ECI,55,ZMB,RENTS,-.0097954691504722,-.0097778095,.0042818873,.026963739,1021,48,0,1
DIVX,55,ZMB,RENTS,-.0035361282417884,-.0034999056,.0013311583,.01152908,1021,48,0,1
