country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff
ATG,Antigua and Barbuda,ATG,2019,.0971837779454958,.0065431668643708,2.325904019895179,0,1,0,DIVX,.795640259995108,.1704980842911877,.0038314176245211
JAM,Jamaica,JAM,1996,.104904548327764,.0060451918730474,2.142582553675669,0,1,0,DIVX,.769705974762011,.1704980842911877,.0038314176245211
IRQ,Iraq,IRQ,2020,.1295871054789934,.0060359212409082,1.899540461979869,0,1,0,DIVX,.367514207874692,.1704980842911877,.0038314176245211
BRN,Brunei,BRN,2020,.1004855814676668,.0058731794780473,2.1631360205036,0,1,0,DIVX,.795369389898993,.1704980842911877,.0038314176245211
GUY,Guyana,GUY,2021,.2507528302336999,.0056915348353671,-1.2302668905239,1,1,0,DIVX,.531261147633226,.1704980842911877,.0038314176245211
SYC,Seychelles,SYC,2013,.093219991892556,.0056140348438397,-2.204595888371384,0,1,0,DIVX,.597104976222512,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2010,.1012111705482628,.0054623808681701,2.077784976379841,0,1,0,DIVX,.76118752933774,.1704980842911877,.0038314176245211
GIN,Guinea,GIN,2013,.081841587381815,.0052782275974159,2.295677335687118,0,1,0,DIVX,.795282539016557,.1704980842911877,.0038314176245211
JAM,Jamaica,JAM,2021,.0908917906249274,.0052215957209879,2.155966881801886,0,1,0,DIVX,.886497664320359,.1704980842911877,.0038314176245211
IRN,Iran,IRN,2014,.0889191042424953,.0051918395135844,2.17588813279441,0,1,0,DIVX,.725004613408133,.1704980842911877,.0038314176245211
GMB,The Gambia,GMB,2020,.0903496683949481,.005180153415117,-2.154469120993689,0,1,0,DIVX,.622932956965318,.1704980842911877,.0038314176245211
GMB,The Gambia,GMB,1998,.1243210387906011,.0051577574527688,-1.798148700986046,0,1,0,DIVX,.578251566073782,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2014,.0857319300912724,.005140689159776,2.208875057698421,0,1,0,DIVX,.785597159292149,.1704980842911877,.0038314176245211
MNG,Mongolia,MNG,2015,.099619270844296,.0050931900320672,-2.024097180166808,0,1,0,DIVX,.692519080612065,.1704980842911877,.0038314176245211
JAM,Jamaica,JAM,2005,.070361086581463,.0048486742807552,-2.387796916149538,0,1,0,DIVX,.553788822497091,.1704980842911877,.0038314176245211
GIN,Guinea,GIN,2020,.0948811165430703,.0047832147242659,-2.015198640169048,0,1,0,DIVX,.457853256047866,.1704980842911877,.0038314176245211
SUR,Suriname,SUR,2013,.0909044834468977,.0047801656977666,2.06266445747965,0,1,0,DIVX,.766430207819896,.1704980842911877,.0038314176245211
